german_word;korean_meaning;german_example;pos;ko_example_translation;verb_type;verb_case;verb_prep;complement_structure;reflexive;adj_prep;adj_case;theme;category;date_added
im Durchschnitt;평균적으로 / on average;Im Durchschnitt lernen die Kinder 3 Stunden täglich.;Adverbiale Fügung;평균적으로 아이들은 하루 3시간을 공부한다.;;;;;;;;Bildung;데이터·그래프 설명 구문;2025-08-26
Es wäre besser, wenn …;…하면 더 좋을 것이다 / It would be better if …;Es wäre besser, wenn die Schüler früher anfangen.;Sprechakt;학생들이 더 일찍 시작하면 더 좋을 것이다.;;;;;;;;Bildung;Konjunktiv I/II 및 상호작용 표현;2025-08-26
sich bewerben um;지원하다 / to apply for;Sie bewirbt sich um ein Stipendium.;verb;그녀는 장학금에 지원한다.;prepositional;Akk;um;sich um + Akk;ja;;;Bildung;전치사 지배 동사/동사구;2025-08-26
der Anteil;비율 / proportion;Der Anteil der Frauen im Studium steigt.;Nomen;대학에서 여성의 비율이 증가한다.;;;;;;;;Bildung;데이터·그래프 설명 구문;2025-08-26
Zum einen …, zum anderen …;한편으로 … 다른 한편으로 … / on the one hand … on the other hand …;Zum einen ist Bildung teuer, zum anderen notwendig.;Satzmuster;한편으로 교육은 비싸지만 다른 한편으로는 필요하다.;;;;;;;;Bildung;논리적 문장틀·연결어;2025-08-26
unterstützen;지원하다 / to support;Das Stipendium unterstützt die Studierenden.;verb;장학금은 학생들을 지원한다.;akkusativ;Akk;;jdn/etw (Akk);nein;;;Bildung;4격 지배 동사;2025-08-26
die Chancengerechtigkeit;기회의 공정성 / equity of opportunity;Chancengerechtigkeit bleibt ein wichtiges Ziel.;Nomen;기회의 공정성은 중요한 목표로 남는다.;;;;;;;;Bildung;학술 명사구·콜로케이션;2025-08-26
laut einer Studie;연구에 따르면 / according to a study;Laut einer Studie verbessert Lesen die Konzentration.;Präpositionale Fügung;연구에 따르면 독서는 집중력을 향상시킨다.;;;;;;;;Bildung;출처 인용/보고 구문;2025-08-26
Es lässt sich feststellen, dass …;…라고 말할 수 있다 / it can be stated that;Es lässt sich feststellen, dass Bildung wichtig ist.;Satzmuster;교육이 중요하다고 말할 수 있다.;;;;;;;;Bildung;논리적 문장틀·연결어;2025-08-26
bewerten;평가하다 / to evaluate;Die Lehrerin bewertet die Hausaufgaben.;verb;교사는 숙제를 평가한다.;akkusativ;Akk;;etw (Akk) bewerten;nein;;;Bildung;4격 지배 동사;2025-08-26
